param,base,other,deviation,comparison,latex_formula
beta,0.01,0.01,7.09,noninf_beta,$[(0.014 - 0.013)/0.014] \times 100 = 7\%$
sigma,0.40,0.40,-0.08,noninf_beta,$[(0.398 - 0.399)/0.398] \times 100 = -0\%$
sigma_alpha,0.02,0.02,-3.60,noninf_beta,$[(0.019 - 0.020)/0.019] \times 100 = -4\%$
mu_alpha_log,3.06,3.06,-0.04,noninf_beta,$[(3.060 - 3.061)/3.060] \times 100 = -0\%$
beta,0.01,0.01,1.75,noninf_mu,$[(0.014 - 0.014)/0.014] \times 100 = 2\%$
sigma,0.40,0.40,-0.04,noninf_mu,$[(0.398 - 0.398)/0.398] \times 100 = -0\%$
sigma_alpha,0.02,0.02,-0.64,noninf_mu,$[(0.019 - 0.019)/0.019] \times 100 = -1\%$
mu_alpha_log,3.06,3.06,0.01,noninf_mu,$[(3.060 - 3.060)/3.060] \times 100 = 0\%$
beta,0.01,0.01,3.43,noninf_sigma,$[(0.014 - 0.014)/0.014] \times 100 = 3\%$
sigma,0.40,0.40,-0.09,noninf_sigma,$[(0.398 - 0.399)/0.398] \times 100 = -0\%$
sigma_alpha,0.02,0.02,1.56,noninf_sigma,$[(0.019 - 0.019)/0.019] \times 100 = 2\%$
mu_alpha_log,3.06,3.06,-0.02,noninf_sigma,$[(3.060 - 3.061)/3.060] \times 100 = -0\%$
beta,0.01,0.01,2.42,noninf_sigma_alpha,$[(0.014 - 0.014)/0.014] \times 100 = 2\%$
sigma,0.40,0.40,-0.05,noninf_sigma_alpha,$[(0.398 - 0.398)/0.398] \times 100 = -0\%$
sigma_alpha,0.02,0.02,-5.17,noninf_sigma_alpha,$[(0.019 - 0.020)/0.019] \times 100 = -5\%$
mu_alpha_log,3.06,3.06,-0.02,noninf_sigma_alpha,$[(3.060 - 3.061)/3.060] \times 100 = -0\%$
beta,0.01,0.02,-4.66,beta_1,$[(0.014 - 0.015)/0.014] \times 100 = -5\%$
sigma,0.40,0.40,-0.00,beta_1,$[(0.398 - 0.398)/0.398] \times 100 = -0\%$
sigma_alpha,0.02,0.02,-7.53,beta_1,$[(0.019 - 0.021)/0.019] \times 100 = -8\%$
mu_alpha_log,3.06,3.06,0.01,beta_1,$[(3.060 - 3.060)/3.060] \times 100 = 0\%$
beta,0.01,0.01,1.02,beta_2,$[(0.014 - 0.014)/0.014] \times 100 = 1\%$
sigma,0.40,0.40,-0.08,beta_2,$[(0.398 - 0.399)/0.398] \times 100 = -0\%$
sigma_alpha,0.02,0.02,4.60,beta_2,$[(0.019 - 0.018)/0.019] \times 100 = 5\%$
mu_alpha_log,3.06,3.06,-0.03,beta_2,$[(3.060 - 3.061)/3.060] \times 100 = -0\%$
beta,0.01,0.01,15.40,beta_3,$[(0.014 - 0.012)/0.014] \times 100 = 15\%$
sigma,0.40,0.40,-0.08,beta_3,$[(0.398 - 0.399)/0.398] \times 100 = -0\%$
sigma_alpha,0.02,0.02,9.08,beta_3,$[(0.019 - 0.018)/0.019] \times 100 = 9\%$
mu_alpha_log,3.06,3.06,-0.05,beta_3,$[(3.060 - 3.062)/3.060] \times 100 = -0\%$
beta,0.01,0.01,16.51,beta_4,$[(0.014 - 0.012)/0.014] \times 100 = 17\%$
sigma,0.40,0.40,-0.01,beta_4,$[(0.398 - 0.398)/0.398] \times 100 = -0\%$
sigma_alpha,0.02,0.02,2.98,beta_4,$[(0.019 - 0.019)/0.019] \times 100 = 3\%$
mu_alpha_log,3.06,3.06,-0.05,beta_4,$[(3.060 - 3.062)/3.060] \times 100 = -0\%$
beta,0.01,0.01,1.39,mu_1,$[(0.014 - 0.014)/0.014] \times 100 = 1\%$
sigma,0.40,0.40,-0.09,mu_1,$[(0.398 - 0.399)/0.398] \times 100 = -0\%$
sigma_alpha,0.02,0.02,-7.51,mu_1,$[(0.019 - 0.021)/0.019] \times 100 = -8\%$
mu_alpha_log,3.06,3.06,-0.03,mu_1,$[(3.060 - 3.061)/3.060] \times 100 = -0\%$
beta,0.01,0.01,-1.05,mu_2,$[(0.014 - 0.015)/0.014] \times 100 = -1\%$
sigma,0.40,0.40,-0.06,mu_2,$[(0.398 - 0.398)/0.398] \times 100 = -0\%$
sigma_alpha,0.02,0.02,-1.24,mu_2,$[(0.019 - 0.020)/0.019] \times 100 = -1\%$
mu_alpha_log,3.06,3.06,-0.03,mu_2,$[(3.060 - 3.061)/3.060] \times 100 = -0\%$
beta,0.01,0.01,-0.85,mu_3,$[(0.014 - 0.015)/0.014] \times 100 = -1\%$
sigma,0.40,0.40,-0.00,mu_3,$[(0.398 - 0.398)/0.398] \times 100 = -0\%$
sigma_alpha,0.02,0.02,-5.66,mu_3,$[(0.019 - 0.020)/0.019] \times 100 = -6\%$
mu_alpha_log,3.06,3.06,0.01,mu_3,$[(3.060 - 3.060)/3.060] \times 100 = 0\%$
beta,0.01,0.02,-6.10,mu_4,$[(0.014 - 0.015)/0.014] \times 100 = -6\%$
sigma,0.40,0.40,0.02,mu_4,$[(0.398 - 0.398)/0.398] \times 100 = 0\%$
sigma_alpha,0.02,0.02,2.06,mu_4,$[(0.019 - 0.019)/0.019] \times 100 = 2\%$
mu_alpha_log,3.06,3.06,0.05,mu_4,$[(3.060 - 3.059)/3.060] \times 100 = 0\%$
beta,0.01,0.01,2.61,sigma_1,$[(0.014 - 0.014)/0.014] \times 100 = 3\%$
sigma,0.40,0.40,-0.06,sigma_1,$[(0.398 - 0.398)/0.398] \times 100 = -0\%$
sigma_alpha,0.02,0.02,1.94,sigma_1,$[(0.019 - 0.019)/0.019] \times 100 = 2\%$
mu_alpha_log,3.06,3.06,-0.02,sigma_1,$[(3.060 - 3.061)/3.060] \times 100 = -0\%$
beta,0.01,0.01,7.41,sigma_2,$[(0.014 - 0.013)/0.014] \times 100 = 7\%$
sigma,0.40,0.40,-0.10,sigma_2,$[(0.398 - 0.399)/0.398] \times 100 = -0\%$
sigma_alpha,0.02,0.02,-6.36,sigma_2,$[(0.019 - 0.021)/0.019] \times 100 = -6\%$
mu_alpha_log,3.06,3.06,-0.05,sigma_2,$[(3.060 - 3.062)/3.060] \times 100 = -0\%$
beta,0.01,0.01,-3.57,sigma_alpha_1,$[(0.014 - 0.015)/0.014] \times 100 = -4\%$
sigma,0.40,0.40,-0.12,sigma_alpha_1,$[(0.398 - 0.399)/0.398] \times 100 = -0\%$
sigma_alpha,0.02,0.02,1.70,sigma_alpha_1,$[(0.019 - 0.019)/0.019] \times 100 = 2\%$
mu_alpha_log,3.06,3.06,0.01,sigma_alpha_1,$[(3.060 - 3.060)/3.060] \times 100 = 0\%$
beta,0.01,0.02,-5.42,sigma_alpha_2,$[(0.014 - 0.015)/0.014] \times 100 = -5\%$
sigma,0.40,0.40,-0.10,sigma_alpha_2,$[(0.398 - 0.399)/0.398] \times 100 = -0\%$
sigma_alpha,0.02,0.02,3.52,sigma_alpha_2,$[(0.019 - 0.019)/0.019] \times 100 = 4\%$
mu_alpha_log,3.06,3.06,-0.00,sigma_alpha_2,$[(3.060 - 3.060)/3.060] \times 100 = -0\%$
beta,0.01,0.01,5.53,base_double_iter,$[(0.014 - 0.014)/0.014] \times 100 = 6\%$
sigma,0.40,0.40,-0.08,base_double_iter,$[(0.398 - 0.399)/0.398] \times 100 = -0\%$
sigma_alpha,0.02,0.02,2.75,base_double_iter,$[(0.019 - 0.019)/0.019] \times 100 = 3\%$
mu_alpha_log,3.06,3.06,-0.03,base_double_iter,$[(3.060 - 3.061)/3.060] \times 100 = -0\%$
beta,0.01,0.01,3.09,base_double_iter,$[(0.014 - 0.014)/0.014] \times 100 = 3\%$
sigma,0.40,0.40,-0.04,base_double_iter,$[(0.398 - 0.398)/0.398] \times 100 = -0\%$
sigma_alpha,0.02,0.02,1.66,base_double_iter,$[(0.019 - 0.019)/0.019] \times 100 = 2\%$
mu_alpha_log,3.06,3.06,-0.02,base_double_iter,$[(3.060 - 3.061)/3.060] \times 100 = -0\%$

